PlotNumber,SiteUnit1,SiteUnit2,SiteUnit3,SiteUnit4,SiteUnit5,SiteUnit6,SiteUnit7,SiteUnit8,SiteUnit9,SiteUnit10,SiteUnit
0003051,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),ALLIANCE Pseumen-Pinucon-Pleusch (SBS warm xeric),SUBALL Pseumen-Rosaaci-Spirbet-Pleusch(SBS),?ASSOC Pseumen-Shepcan-Hylospl,,,,SBS dk   /Gb53
0003052,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),ALLIANCE Pseumen-Pinucon-Pleusch (SBS warm xeric),SUBALL Pseumen-Rosaaci-Spirbet-Pleusch(SBS),?ASSOC Pseumen-Shepcan-Hylospl,,,,SBS dk   /Ro
0003053,FdiPy WarmInteriorandDry Forest Region,CLASS Pseumen (IDF and PP) Fdi or Py leading,ORDER Pseumen1-Calarub (Interior Fd forests(Fd or CALARUB),SUBORDER Pseumen-Calarub (central concept),ALLIANCE Pseumen-Pinucon-Pleusch (SBS warm xeric),SUBALL Pseumen-Rosaaci-Spirbet-Pleusch(SBS),?ASSOC Pseumen-Shepcan-Hylospl,,,,SBS dk   /Gb53
0003054,,,,,,,,,,,SBS dk   /01-04 $5B At - Snowberry - Pin Cherry
0003055,,,,,,,,,,,SBS dk   /02
0003056,,,,,,,,,,,SBS dk   /01-04 $5B At - Snowberry - Pin Cherry
0003057,,,,,,,,,,,SBS dk   /Gg
0003060,,,,,,,,,,,SBS dk   /Gb53
0003063,,,,,,,,,,,SBS dk   /Ro
0003064,,,,,,,,,,,SBS dk   /Gg
0003065,,,,,,,,,,,SBS dk   /01-04 $5B At - Snowberry - Pin Cherry
0003068,,,,,,,,,,,SBS dk   /Gb53
0003069,,,,,,,,,,,SBS dk   /01-04 $5B At - Snowberry - Pin Cherry
0003070,,,,,,,,,,,SBS dk   /04 $ Aspen - Juniper - Grass%
0003352,,,,,,,,,,,SBS dk   /Ws07
0003452,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Soopolallie (mature)
0004652,,,,,,,,,,,SBS dk   /03
0005453,,,,,,,,,,,SBS dk   /05
0018453,,,,,,,,,,,SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)
0018652,,,,,,,,,,,SBS dk   /01
0018952,,,,,,,,,,,SBS dk   /01 $6B At - Rose
0112930,,,,,,,,,,,SBS dk   /05-03 $3b Pine - Soopolallie - Kinnikinnick (early seral)
0112931,,,,,,,,,,,SBS dk   /05-03 $3b Pine - Soopolallie - Kinnikinnick (early seral)
0112932,,,,,,,,,,,SBS dk   /01 $4 Pine - Spirea - Twinflower (seral)
0112933,,,,,,,,,,,SBS dk   /05-03 $3b Pine - Soopolallie - Kinnikinnick (early seral)
0112935,,,,,,,,,,,SBS dk   /01 $4 Pine - Spirea - Twinflower (seral)
0112936,,,,,,,,,,,SBS dk   /01 $4 Pine - Spirea - Twinflower (seral)
0112937,,,,,,,,,,,SBS dk   /06a
0112938,,,,,,,,,,,SBS dk   /01 $4 Pine - Spirea - Twinflower (seral)
0114625,,,,,,,,,,,SBS dk   /01 $3 Pine - Spirea - Bluejoint (young)
0114652,,,,,,,,,,,SBS dk   /05-01 $6B At - Snowberry - Peavine
0114653,,,,,,,,,,,SBS dk   /01 $3 Pine - Spirea - Bluejoint (young)
0114656,,,,,,,,,,,SBS dk   /10 $5 Sx - Labrador Tea
0114657,,,,,,,,,,,SBS dk   /01-05 $3b Pine - Spirea - Fireweed (plantation)
0114660,,,,,,,,,,,SBS dk   /01 $3 Pine - Spirea - Bluejoint (young)
0114662,,,,,,,,,,,SBS dk   /06 $5M ActSx - Highbush cranberry - Thimbleberry
0114665,,,,,,,,,,,SBS dk   /06a $5M AtSx - Hardhack
0114672,,,,,,,,,,,SBS dk   /01 $3 Pine - Spirea - Bluejoint (young)
0114676,,,,,,,,,,,SBS dk   /01 $6B At - Rose
0114677,,,,,,,,,,,SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)
0114734,,,,,,,,,,,SBS dk   /06 $5B EpAt - Dogwood - Peavine
02-1901,,,,,,,,,,,SBS dk   /Gb1
02-1903,,,,,,,,,,,SBS dk   /Gb2
02-1974,,,,,,,,,,,SBS dk   /Gb2
02-1976,,,,,,,,,,,SBS dk   /Gb1
02-1977,,,,,,,,,,,SBS dk   /Gb1
02-1986,,,,,,,,,,,SBS dk   /Xh
08-0010,,,,,,,,,,,SBS dk   /Ro
08-0018,,,,,,,,,,,SBS dk   /01-06 $5B At - Peavine
08-0021,,,,,,,,,,,SBS dk   /01-06 $5B At - Peavine
09174,,,,,,,,,,,SBS dk   /10 $3bB Mountain Alder - Black twinberry - Stinging nettle
09176,,,,,,,,,,,SBS dk   /01
100180,,,,,,,,,,,SBS dk   /06
100280,,,,,,,,,,,SBS dk   /01
100380,,,,,,,,,,,SBS dk   /06
100480,,,,,,,,,,,SBS dk   /05
100580,,,,,,,,,,,SBS dk   /01
100680,,,,,,,,,,,SBS dk   /06
106680,,,,,,,,,,,SBS dk   /06a
115478,,,,,,,,,,,SBS dk   /Fm02a
115778,,,,,,,,,,,SBS dk   /01
115978,,,,,,,,,,,SBS dk   /01
116078,,,,,,,,,,,SBS dk   /06
116178,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Twinberry (mature)
116278,,,,,,,,,,,SBS dk   /Wb08
116680,,,,,,,,,,,SBS dk   /01
116880,,,,,,,,,,,SBS dk   /03
116978,,,,,,,,,,,SBS dk   /06a
117078,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Twinberry (mature)
117178,,,,,,,,,,,SBS dk   /Gb53
117278,,,,,,,,,,,SBS dk   /06
117378,,,,,,,,,,,SBS dk   /Fm02a
117678,,,,,,,,,,,SBS dk   /06
117978,,,,,,,,,,,SBS dk   /03
118078,,,,,,,,,,,SBS dk   /Wb08
118178,,,,,,,,,,,SBS dk   /Gb53
118278,,,,,,,,,,,SBS dk   /Gb53
121578,,,,,,,,,,,SBS dk   /Fm02b
121978,,,,,,,,,,,SBS dk   /06a
122180,,,,,,,,,,,SBS dk   /06
123278,,,,,,,,,,,SBS dk   /Wb01
123378,,,,,,,,,,,SBS dk   /06 $5M ActSx - Highbush cranberry - Thimbleberry
123478,,,,,,,,,,,SBS dk   /Gb53
123578,,,,,,,,,,,SBS dk   /Gb53
123678,,,,,,,,,,,SBS dk   /Wb08
124780,,,,,,,,,,,SBS dk   /01
130778,,,,,,,,,,,SBS dk   /Gb53
162078,,,,,,,,,,,SBS dk   /Fm02a
162278,,,,,,,,,,,SBS dk   /Wb08
162378,,,,,,,,,,,SBS dk   /Wb01
162678,,,,,,,,,,,SBS dk   /07
263,,,,,,,,,,,SBS dk   /Gg
272980,,,,,,,,,,,SBS dk   /Ws04
273380,,,,,,,,,,,SBS dk   /Wm02
273580,,,,,,,,,,,SBS dk   /Wf02
273680,,,,,,,,,,,SBS dk   /Fl05
274480,,,,,,,,,,,SBS dk   /Wm02
301750,,,,,,,,,,,SBS dk   /01
378480,,,,,,,,,,,SBS dk   /Ws04
379380,,,,,,,,,,,SBS dk   /Ws07
408179,,,,,,,,,,,SBS dk   /Wb01
408479,,,,,,,,,,,SBS dk   /02
408679,,,,,,,,,,,SBS dk   /Gb1
410379,,,,,,,,,,,SBS dk   /05
410679,,,,,,,,,,,SBS dk   /01
410879,,,,,,,,,,,SBS dk   /01
410979,,,,,,,,,,,SBS dk   /01
411179,,,,,,,,,,,SBS dk   /01
411279,,,,,,,,,,,SBS dk   /Gg
411479,,,,,,,,,,,SBS dk   /$2 Dandelion - Bluegrass
411779,,,,,,,,,,,SBS dk   /01-06 $5B At - Peavine
411979,,,,,,,,,,,SBS dk   /01
412179,,,,,,,,,,,SBS dk   /01-06 $5B At - Peavine
412279,,,,,,,,,,,SBS dk   /$2 Dandelion - Bluegrass
412679,,,,,,,,,,,SBS dk   /01
412779,,,,,,,,,,,SBS dk   /06
412879,,,,,,,,,,,SBS dk   /01-05 $5 Pl(Sx) - Alder - Feathermoss (young climax)
413079,,,,,,,,,,,SBS dk   /05
413179,,,,,,,,,,,SBS dk   /02
413279,,,,,,,,,,,SBS dk   /06
413479,,,,,,,,,,,SBS dk   /01
413579,,,,,,,,,,,SBS dk   /01
413879,,,,,,,,,,,SBS dk   /05
414379,,,,,,,,,,,SBS dk   /01-05 $5 Pl(Sx) - Alder - Feathermoss (young climax)
414679,,,,,,,,,,,SBS dk   /05
414779,,,,,,,,,,,SBS dk   /01
414879,,,,,,,,,,,SBS dk   /07
414979,,,,,,,,,,,SBS dk   /06
415779,,,,,,,,,,,SBS dk   /06-07 $5C Act(At) - Lathnev
416079,,,,,,,,,,,SBS dk   /Wb08
416579,,,,,,,,,,,SBS dk   /05
416679,,,,,,,,,,,SBS dk   /01-05 $5 Pl(Sx) - Alder - Feathermoss (young climax)
418479,,,,,,,,,,,SBS dk   /04
418579,,,,,,,,,,,SBS dk   /07
418779,,,,,,,,,,,SBS dk   /01
418979,,,,,,,,,,,SBS dk   /04
428879,,,,,,,,,,,SBS dk   /06
428979,,,,,,,,,,,SBS dk   /01-06 $5B At - Cowparsnip
429279,,,,,,,,,,,SBS dk   /01
438979,,,,,,,,,,,SBS dk   /05
439079,,,,,,,,,,,SBS dk   /01
439179,,,,,,,,,,,SBS dk   /01-06 $5B At - Peavine
439379,,,,,,,,,,,SBS dk   /02
6CS108,,,,,,,,,,,SBS dk   /Fm02b
6CS123,,,,,,,,,,,SBS dk   /$Fm02
6CS124,,,,,,,,,,,SBS dk   /Fm02a
8400004,,,,,,,,,,,SBS dk   /Fm02b
8400011,,,,,,,,,,,SBS dk   /06 $5M ActSx - Highbush cranberry - Thimbleberry
8400013,,,,,,,,,,,SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)
8400015,,,,,,,,,,,SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)
8400017,,,,,,,,,,,SBS dk   /03
8400027,,,,,,,,,,,SBS dk   /03
8400028,,,,,,,,,,,SBS dk   /03
8400033,,,,,,,,,,,SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)
8400034,,,,,,,,,,,SBS dk   /03
8400035,,,,,,,,,,,SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)
8400036,,,,,,,,,,,SBS dk   /03
8400040,,,,,,,,,,,SBS dk   /01
8400060,,,,,,,,,,,SBS dk   /Ws07
8400061,,,,,,,,,,,SBS dk   /Ws04
8529247,,,,,,,,,,,SBS dk   /01
8529248,,,,,,,,,,,SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)
8529249,,,,,,,,,,,SBS dk   /04
961102,,,,,,,,,,,SBS dk   /Ws03
961103,,,,,,,,,,,SBS dk   /Wm02
961105,,,,,,,,,,,SBS dk   /Wf02
961107,,,,,,,,,,,SBS dk   /Wf08
961108,,,,,,,,,,,SBS dk   /Wm01
961109,,,,,,,,,,,SBS dk   /Wf19
961119,,,,,,,,,,,SBS dk   /Fl05
961120,,,,,,,,,,,SBS dk   /Wm02
961121,,,,,,,,,,,SBS dk   /Fl05
961122,,,,,,,,,,,SBS dk   /Ws03
961123,,,,,,,,,,,SBS dk   /Wm02
961124,,,,,,,,,,,SBS dk   /Wm02
961125,,,,,,,,,,,SBS dk   /Ws05
961126,,,,,,,,,,,SBS dk   /Wb07
961127,,,,,,,,,,,SBS dk   /Wf14
961128,,,,,,,,,,,SBS dk   /Wm01
961162,,,,,,,,,,,SBS dk /Ws[L.c]
961163,,,,,,,,,,,SBS dk   /Ws03
961164,,,,,,,,,,,SBS dk   /Wm02
961165,,,,,,,,,,,SBS dk   /Fl05
961166,,,,,,,,,,,SBS dk   /07 $5B At - Black twinberry - Horsetail
961167,,,,,,,,,,,SBS dk   /07
961168,,,,,,,,,,,SBS dk   /Wf07
9611753,,,,,,,,,,,SBS dk   /06 $5B EpAt - Dogwood - Peavine
9611760,,,,,,,,,,,SBS dk   /Gb53
9611761,,,,,,,,,,,SBS dk   /$2 Dandelion - Bluegrass
9611767,,,,,,,,,,,SBS dk   /Fm02b
9611768,,,,,,,,,,,SBS dk   /03 $5B At - Saskatoon - Kinnikinnick
9611916,,,,,,,,,,,SBS dk   /Gb53
9611923,,,,,,,,,,,SBS dk   /Fm02b
9611926,,,,,,,,,,,SBS dk   /Gb53
9611953,,,,,,,,,,,SBS dk   /01-06 $5B At - Peavine
9611965,,,,,,,,,,,SBS dk   /07
9611967,,,,,,,,,,,SBS dk   /Ws07
9611970,,,,,,,,,,,SBS dk   /Gb53
9611974,,,,,,,,,,,SBS dk   /Gb1
9611980,,,,,,,,,,,SBS dk   /Fm02a
9611993,,,,,,,,,,,SBS dk   /Fm02a
961236,,,,,,,,,,,SBS dk   /xGb53
961259,,,,,,,,,,,SBS dk   /$2 Dandelion - Bluegrass
9613290,,,,,,,,,,,SBS dk   /07-10 $3bB Alder - Devilsclub - Ladyfern
9613291,,,,,,,,,,,SBS dk   /06 $5M ActSx - Highbush cranberry - Thimbleberry
9613294,,,,,,,,,,,SBS dk   /01-06 $5B At - Peavine
9613295,,,,,,,,,,,SBS dk   /Fm02a
9613312,,,,,,,,,,,SBS dk   /03 $5B At - Douglas Maple Colluvial (5)
9613317,,,,,,,,,,,SBS dk   /07-10 $3bB Alder - Devilsclub - Ladyfern
9613863,,,,,,,,,,,SBS dk   /01-06 $5B At - Cowparsnip
9613868,,,,,,,,,,,SBS dk   /06 $5B EpAt - Dogwood - Peavine
9614743,,,,,,,,,,,SBS dk   /Gb1
9617127,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Soopolallie (mature)
9617268,,,,,,,,,,,SBS dk   /$2 Dandelion - Bluegrass
9622550,,,,,,,,,,,SBS dk   /Wb01
9622643,,,,,,,,,,,SBS dk   /03
9622648,,,,,,,,,,,SBS dk   /07
9622650,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Soopolallie (mature)
9622657,,,,,,,,,,,SBS dk   /03
9622658,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Soopolallie (mature)
9622659,,,,,,,,,,,SBS dk   /03
9624760,,,,,,,,,,,SBS dk   /01-06 $5B At - Peavine
9624761,,,,,,,,,,,SBS dk   /03 $5B At - Saskatoon - Kinnikinnick
9624763,,,,,,,,,,,SBS dk   /03
9624764,,,,,,,,,,,SBS dk   /Wb01
9624777,,,,,,,,,,,SBS dk   /05-01 $5B At - Hardhack
9624779,,,,,,,,,,,SBS dk   /Gb1
9624780,,,,,,,,,,,SBS dk   /Wb01
9624781,,,,,,,,,,,SBS dk   /Ws07
9624782,,,,,,,,,,,SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)
9624783,,,,,,,,,,,SBS dk   /06 $5B EpAt - Dogwood - Peavine
9624784,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Twinberry (mature)
9624787,,,,,,,,,,,SBS dk   /07-10 $3bB Alder - Devilsclub - Ladyfern
9624802,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Twinberry (mature)
9624803,,,,,,,,,,,SBS dk   /Fm02b
9624804,,,,,,,,,,,SBS dk   /06 $5M AtSx - Thimbleberry - Oakfern
9624805,,,,,,,,,,,SBS dk   /06 $5M ActSx - Highbush cranberry - Thimbleberry
9624813,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Soopolallie (mature)
9624827,,,,,,,,,,,SBS dk   /10 $3bB Mountain Alder - Horsetail - Bluejoint
9624959,,,,,,,,,,,SBS dk   /06 $5B AtWs - Dogwood
9626002,,,,,,,,,,,SBS dk   /07-10 $3bB Alder - Devilsclub - Ladyfern
9626014,,,,,,,,,,,SBS dk   /01$ WsDm - Black twinberry - Thimbleberry
9626015,,,,,,,,,,,SBS dk   /03 $5B At - Douglas Maple Colluvial (5)
9626018,,,,,,,,,,,SBS dk   /07 $5B At - Black twinberry - Bluejoint
9626019,,,,,,,,,,,SBS dk   /05-01 $6B At - Snowberry - Peavine
9626032,,,,,,,,,,,SBS dk   /05-01 $6B At - Snowberry - Peavine
9626033,,,,,,,,,,,SBS dk   /07 $5B At - Black twinberry - Horsetail
9626034,,,,,,,,,,,SBS dk   /05-01 $5B At - Hardhack
9626035,,,,,,,,,,,SBS dk   /05-01 $5B At - Hardhack
9626061,,,,,,,,,,,SBS dk   /01-06 $3bB Aspen -Thimbleberry - Showy aster (shrub)
9626062,,,,,,,,,,,SBS dk   /Ws07
9626063,,,,,,,,,,,SBS dk   /Ws07
9626065,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Rose (mature)
9626068,,,,,,,,,,,SBS dk   /Gb1
9626070,,,,,,,,,,,SBS dk   /10 $3bB Mountain alder - Horsetail
9626082,,,,,,,,,,,SBS dk   /10 $3bB Mountain Alder - Horsetail - Bluejoint
9626519,,,,,,,,,,,SBS dk   /Gb1
9626521,,,,,,,,,,,SBS dk   /$2 Dandelion - Bluegrass
9626623,,,,,,,,,,,SBS dk   /Xh
9626624,,,,,,,,,,,SBS dk   /Gg
9626769,,,,,,,,,,,SBS dk   /01-06 $5M AtSx - Soopolallie (mature)
9626770,,,,,,,,,,,SBS dk   /03 $5B At - Saskatoon - Kinnikinnick
9626991,,,,,,,,,,,SBS dk   /Gb1
9626992,,,,,,,,,,,SBS dk   /Gb1
9628621,,,,,,,,,,,SBS dk   /Wf19
9628622,,,,,,,,,,,SBS dk   /Wb01
9628623,,,,,,,,,,,SBS dk   /Wf07
9628632,,,,,,,,,,,SBS dk   /Wf11
9628637,,,,,,,,,,,SBS dk   /Wm01
963001,,,,,,,,,,,SBS dk   /Wb01
963002,,,,,,,,,,,SBS dk   /10 $3bB Mountain Alder - Black twinberry - Stinging nettle
963013,,,,,,,,,,,SBS dk   /Wm02
963101,,,,,,,,,,,SBS dk   /Wf07
963102,,,,,,,,,,,SBS dk   /Wb08
963103,,,,,,,,,,,SBS dk   /Wf06
963104,,,,,,,,,,,SBS dk   /Ws07
963105,,,,,,,,,,,SBS dk   /Fl05
963106,,,,,,,,,,,SBS dk   /Ws04
963107,,,,,,,,,,,SBS dk   /Wb08
963108,,,,,,,,,,,SBS dk   /Wb01
963109,,,,,,,,,,,SBS dk   /Wf08
963110,,,,,,,,,,,SBS dk   /Wf02
963111,,,,,,,,,,,SBS dk   /Wb08
963113,,,,,,,,,,,SBS dk   /Wb01
964529,,,,,,,,,,,SBS dk   /Wb08
965081,,,,,,,,,,,SBS dk   /06 $5B Ep - DevilsClub
965082,,,,,,,,,,,SBS dk   /06 $5M AtSx - Thimbleberry - Oakfern
965089,,,,,,,,,,,SBS dk   /01 $5 Pl - Thimbleberry - Feathermoss (young climax)
965090,,,,,,,,,,,SBS dk   /Fl05
965091,,,,,,,,,,,SBS dk   /Fl05
965092,,,,,,,,,,,SBS dk   /Fl05
965097,,,,,,,,,,,SBS dk   /03
965100,,,,,,,,,,,SBS dk   /06-07 $5C Act(At) - Lathnev
965101,,,,,,,,,,,SBS dk   /06 $5B AtWs - Dogwood
965102,,,,,,,,,,,SBS dk   /06-07 $5C Act(At) - Lathnev
965111,,,,,,,,,,,SBS dk   /05-01 $6B At - Snowberry - Peavine
965112,,,,,,,,,,,SBS dk   /01-06 $5B At - Peavine
965113,,,,,,,,,,,SBS dk   /06-07 $5C Act(At) - Lathnev
965114,,,,,,,,,,,SBS dk   /01-06 $5B At - Cowparsnip
965116,,,,,,,,,,,SBS dk   /01-06 $5B At - Peavine
965117,,,,,,,,,,,SBS dk   /06-07 $5C Act(At) - Lathnev
965118,,,,,,,,,,,SBS dk   /03 $5B At - Douglas Maple Colluvial (5)
