"","SiteSeries","0XD","2VD","3MD","4SD","5F","6M","7VM","8W","9VW"
"1","SBS dk - SIBEC",0,0,2,0,1,0,0,0,0
"2","SBS dk   /$2 Becknells  Geranium",0,0,1,0,2,0,0,0,0
"3","SBS dk   /$2 Dandelion - Bluegrass",0,1,4,1,0,1,0,0,0
"4","SBS dk   /$2 Fireweed - Bunchberry",0,1,0,1,0,0,0,0,0
"5","SBS dk   /$2 Oxeye Daisy - Red Fescue",0,1,1,0,0,0,0,0,0
"6","SBS dk   /$Fm02",0,0,0,0,1,0,0,0,0
"7","SBS dk   /01",0,0,3,12,13,2,0,0,0
"8","SBS dk   /01-04 $5B At - Snowberry - Pin Cherry",0,0,6,0,0,0,0,0,0
"9","SBS dk   /01-05 $3b Pine - Spirea - Fireweed (plantation)",0,0,0,0,2,0,0,0,0
"10","SBS dk   /01-05 $5 Pl(Sx) - Alder - Feathermoss (young climax)",0,0,0,1,3,0,0,0,0
"11","SBS dk   /01-06 $3bB Aspen -Thimbleberry - Showy aster (shrub)",0,0,0,1,0,0,0,0,0
"12","SBS dk   /01-06 $5B At - Cowparsnip",0,0,0,0,1,4,0,0,0
"13","SBS dk   /01-06 $5B At - Peavine",0,0,7,4,4,3,0,0,0
"14","SBS dk   /01-06 $5M AtSx - Rose (mature)",0,0,5,0,0,0,0,0,0
"15","SBS dk   /01-06 $5M AtSx - Soopolallie (mature)",0,0,3,3,3,0,0,0,0
"16","SBS dk   /01-06 $5M AtSx - Twinberry (mature)",0,0,1,1,3,0,0,0,0
"17","SBS dk   /01 $3 Pine - Spirea - Bluejoint (young)",0,0,0,0,2,1,0,1,0
"18","SBS dk   /01 $3a Rose - Bunchberry - Fireweed",0,0,0,1,1,0,0,0,0
"19","SBS dk   /01 $4 Pine - Spirea - Twinflower (seral)",0,0,0,0,4,0,0,0,0
"20","SBS dk   /01 $5 Pl - Rose - Feathermoss (young climax)",0,0,0,2,6,0,0,0,0
"21","SBS dk   /01 $5 Pl - Thimbleberry - Feathermoss (young climax)",0,0,0,0,1,0,0,0,0
"22","SBS dk   /01 $6B At - Rose",0,0,5,0,2,0,0,0,0
"23","SBS dk   /01$ WsDm - Black twinberry - Thimbleberry",0,0,0,0,2,2,0,0,0
"24","SBS dk   /01$3a Spirea - Rose - Peavine",0,0,1,0,0,0,0,0,0
"25","SBS dk   /02",0,0,4,0,0,0,0,0,0
"26","SBS dk   /03",0,1,7,4,1,0,0,0,0
"27","SBS dk   /03 $5B At - Douglas Maple Colluvial (5)",0,0,1,1,1,0,0,0,0
"28","SBS dk   /03 $5B At - Saskatoon - Kinnikinnick",0,1,4,1,0,0,0,0,0
"29","SBS dk   /04",0,0,3,0,0,0,0,0,0
"30","SBS dk   /04 $ Aspen - Juniper - Grass%",0,0,1,0,0,0,0,0,0
"31","SBS dk   /05",0,0,2,3,4,0,0,0,0
"32","SBS dk   /05-01 $5B At - Hardhack",0,0,0,0,0,2,0,3,0
"33","SBS dk   /05-01 $6B At - Snowberry - Peavine",0,0,8,0,0,0,0,0,0
"34","SBS dk   /05-03 $3b Pine - Soopolallie - Kinnikinnick (early seral)",0,1,0,1,1,1,0,0,0
"35","SBS dk   /06",0,0,1,2,8,3,0,0,0
"36","SBS dk   /06-01 $3aB Raspberry - Peavine (pioneer seral)",0,0,0,1,0,0,0,0,0
"37","SBS dk   /06-07 $5C Act(At) - Lathnev",0,0,3,1,1,5,0,0,0
"38","SBS dk   /06 $5B AtWs - Dogwood",0,0,2,0,1,1,0,0,0
"39","SBS dk   /06 $5B Ep - DevilsClub",0,0,0,0,0,5,0,0,0
"40","SBS dk   /06 $5B EpAt - Dogwood - Peavine",0,0,2,1,5,3,0,0,0
"41","SBS dk   /06 $5M ActSx - Highbush cranberry - Thimbleberry",0,0,0,0,6,2,0,0,0
"42","SBS dk   /06 $5M AtSx - Thimbleberry - Oakfern",0,0,1,0,1,5,0,0,0
"43","SBS dk   /06a",0,0,0,0,0,1,0,3,0
"44","SBS dk   /06a $5M AtSx - Hardhack",0,0,0,0,0,1,0,1,0
"45","SBS dk   /07",0,0,0,0,0,7,0,0,0
"46","SBS dk   /07-10 $3bB Alder - Devilsclub - Ladyfern",0,0,0,0,0,4,0,0,0
"47","SBS dk   /07 $5B At - Black twinberry - Bluejoint",0,0,0,0,1,2,1,0,0
"48","SBS dk   /07 $5B At - Black twinberry - Horsetail",0,0,0,0,0,6,0,0,0
"49","SBS dk   /10 $3bB Mountain Alder - Black twinberry - Stinging nettle",0,0,0,0,0,3,0,0,0
"50","SBS dk   /10 $3bB Mountain alder - Horsetail",0,0,0,0,0,0,0,0,1
"51","SBS dk   /10 $3bB Mountain Alder - Horsetail - Bluejoint",0,0,0,0,1,1,0,0,0
"52","SBS dk   /10 $5 Sx - Labrador Tea",0,0,0,0,0,0,0,1,0
"53","SBS dk   /Fl05",0,0,0,0,0,8,0,0,0
"54","SBS dk   /Fm02a",0,0,0,0,9,0,0,0,0
"55","SBS dk   /Fm02b",0,0,0,0,1,7,0,0,0
"56","SBS dk   /Gb1",0,0,12,0,0,0,0,0,0
"57","SBS dk   /Gb2",0,0,2,0,0,0,0,0,0
"58","SBS dk   /Gb53",0,2,12,0,0,0,0,0,0
"59","SBS dk   /Gg",1,3,2,0,0,0,0,0,0
"60","SBS dk   /Ro",0,1,2,0,0,0,0,0,0
"61","SBS dk   /Wb01",0,0,0,0,0,0,0,12,0
"62","SBS dk   /Wb07",0,0,0,0,0,0,0,1,0
"63","SBS dk   /Wb08",0,0,0,0,0,0,0,7,4
"64","SBS dk   /Wf01",0,0,0,0,0,0,0,1,0
"65","SBS dk   /Wf02",0,0,0,0,0,0,0,17,1
"66","SBS dk   /Wf05",0,0,0,0,0,0,0,0,1
"67","SBS dk   /Wf06",0,0,0,0,0,0,0,0,1
"68","SBS dk   /Wf07",0,0,0,0,0,0,0,0,3
"69","SBS dk   /Wf08",0,0,0,0,0,0,0,0,2
"70","SBS dk   /Wf11",0,0,0,0,0,0,0,1,0
"71","SBS dk   /Wf14",0,0,0,0,0,0,0,1,0
"72","SBS dk   /Wf19",0,0,0,0,0,0,0,1,2
"73","SBS dk   /Wm01",0,0,0,0,0,0,0,6,2
"74","SBS dk   /Wm02",0,0,0,0,0,0,0,1,7
"75","SBS dk   /Wm04",0,0,0,0,0,0,0,0,1
"76","SBS dk   /Ws03",0,0,0,0,0,0,0,3,0
"77","SBS dk   /Ws04",0,0,0,0,0,0,1,7,2
"78","SBS dk   /Ws05",0,0,0,0,0,0,0,2,0
"79","SBS dk   /Ws07",0,0,0,0,0,6,2,1,0
"80","SBS dk   /xGb53",0,1,0,0,0,0,0,0,0
"81","SBS dk   /Xh",0,0,0,1,0,1,0,0,0
"82","SBS dk   /Xv01",0,0,0,0,0,1,0,0,0
"83","SBS dk /Ws[L.c]",0,0,0,0,0,1,0,0,0
